SOURCE_ID,PropCancel,GiZScore,GiPValue,Gi_Bin,field_1,latitude_d,longitude_,elevation_,iata_code,NDeparture,NArrivals,Cancelled,PropCancel_2
6,0.03446419,-3.642368646,0.000270141,-3,25958,40.978101,-124.109,221,ACV,3714,3702,128,0.03446419
26,0.011550422,-1.757543605,0.078825196,-1,26142,35.43360138,-119.0569992,510,BFL,4502,4499,52,0.011550422
33,0.008333333,-2.6924478,0.007092964,-3,26179,48.7928009,-122.538002,170,BLI,120,121,1,0.008333333
36,0.007048872,-2.711745035,0.006693005,-3,26195,43.5644,-116.223,2871,BOI,17024,17023,120,0.007048872
40,0.005924951,-1.74188291,0.081528935,-1,47640,18.49489975,-67.12940216,237,BQN,1519,1519,9,0.005924951
43,0.025423729,-1.867597964,0.06181813,-1,26214,45.95479965,-112.4970016,5550,BTM,708,705,18,0.025423729
52,0.017964072,-2.952178272,0.003155407,-3,26292,37.70100021,-113.098999,5622,CDC,668,667,12,0.017964072
54,0.045155221,-3.680814566,0.00023249,-3,26300,41.78020096,-124.2369995,61,CEC,1063,1067,48,0.045155221
58,0.020833333,-2.225259598,0.026063816,-2,26332,39.79539871,-121.8580017,240,CIC,1392,1392,29,0.020833333
67,0.013468013,-1.719173221,0.085582835,-1,26376,44.52019882,-109.0240021,5102,COD,1188,1187,16,0.013468013
75,0.022658099,-1.781705744,0.07479723,-1,26482,29.179899,-81.058098,34,DAB,2957,2956,67,0.022658099
85,0.024768645,-1.954186016,0.050679223,-1,26542,37.1515007,-107.7539978,6685,DRO,3674,3670,91,0.024768645
89,0.017721519,-2.854429852,0.004311415,-3,26973,40.82490158,-115.7919998,5140,EKO,1580,1579,28,0.017721519
93,0.016176726,-3.809158875,0.00013944,-3,27017,44.12459946,-123.211998,374,EUG,5749,5752,93,0.016176726
97,0.015857284,-1.834630238,0.066560495,-1,27034,24.55610085,-81.75959778,3,EYW,1009,1009,16,0.015857284
100,0.011977306,-1.986089925,0.04702334,-2,27092,36.77619934,-119.7180023,336,FAT,14277,14277,171,0.011977306
102,0.008327299,-1.687950733,0.091420687,-1,27304,48.3105011,-114.2559967,2977,FCA,2762,2760,23,0.008327299
103,0.054516301,-2.082913266,0.03725913,-2,27130,35.13850021,-111.6709976,7014,FLG,1871,1871,102,0.054516301
104,0.008068238,-2.17182412,0.029868932,-2,27131,26.072599,-80.152702,9,FLL,67177,67179,542,0.008068238
114,0.015139752,-2.540286392,0.011076173,-2,27279,39.12239838,-108.5270004,4858,GJT,5152,5200,78,0.015139752
129,0.008227308,-1.880868955,0.059989747,-1,38610,21.32062,-157.924228,13,HNL,56276,56272,463,0.008227308
138,0.018691589,-2.628505231,0.008576104,-3,27544,43.514599,-112.070999,4744,IDA,3103,3110,58,0.018691589
145,0.0060862,-1.880868955,0.059989747,-1,38616,19.72139931,-155.0480042,38,ITO,8051,8051,49,0.0060862
146,0.043841336,-2.155438325,0.03112755,-2,27605,35.65879822,-117.8300018,2457,IYK,958,954,42,0.043841336
147,0.025491237,-2.702539214,0.006881207,-3,27609,43.6072998,-110.737999,6451,JAC,3766,3764,96,0.025491237
152,0.005743509,-1.880868955,0.059989747,-1,38602,19.738783,-156.045603,47,KOA,12710,12711,73,0.005743509
155,0.011898702,-2.61027427,0.009046966,-3,27735,36.08010101,-115.1520004,2181,LAS,172876,172871,2057,0.011898702
164,0.0078125,-1.880868955,0.059989747,-1,38605,21.97599983,-159.3390045,153,LIH,13184,13179,103,0.0078125
166,0.035225049,-2.179670349,0.029281906,-2,27790,42.156101,-121.733002,4095,LMT,511,510,18,0.035225049
171,0.003067485,-1.736935552,0.082398547,-1,27842,46.37450027,-117.0149994,1442,LWS,652,652,2,0.003067485
177,0.008264653,-1.836555495,0.066275542,-1,27943,28.42939949,-81.30899811,96,MCO,130677,130663,1080,0.008264653
183,0.021231423,-3.729087389,0.000192175,-3,27968,42.37419891,-122.8730011,1335,MFR,5652,5650,120,0.021231423
186,0.012580124,-2.216927699,0.026628033,-2,27986,25.79319954,-80.29060364,8,MIA,62559,62582,787,0.012580124
189,0.021478521,-1.8860908,0.05928272,-1,28009,28.10280037,-80.64530182,33,MLB,2002,2002,43,0.021478521
193,0.036989247,-2.057140579,0.039672705,-2,28041,37.62580109,-120.9540024,97,MOD,2325,2325,86,0.036989247
196,0.026423031,-2.026510987,0.042712448,-2,28068,36.5870018,-121.8430023,257,MRY,7607,7603,201,0.026423031
198,0.007371007,-1.746034746,0.080804914,-1,28072,46.91630173,-114.0910034,3206,MSO,3256,3259,24,0.007371007
201,0.015295577,-2.501063055,0.012382113,-2,28080,38.50979996,-107.8939972,5759,MTJ,2419,2419,37,0.015295577
204,0.015431358,-2.436149375,0.014844553,-2,28264,37.721298,-122.221001,9,OAK,62535,62533,965,0.015431358
205,0.01439318,-1.880868955,0.059989747,-1,38613,20.8986,-156.429993,54,OGG,19940,19933,287,0.01439318
