SOURCE_ID,Cancelled,GiZScore,GiPValue,Gi_Bin,field_1,latitude_d,longitude_,elevation_,iata_code,NDeparture,NArrivals,Cancelled_2,PropCancel
30,41,-1.856443855,0.063390319,-1,26160,45.80770111,-108.5429993,3652,BIL,4505,4509,41,0.009100999
43,18,-1.654475348,0.098030968,-1,26214,45.95479965,-112.4970016,5550,BTM,708,705,18,0.025423729
49,42,-1.700359487,0.089063327,-1,26246,45.77750015,-111.1529999,4473,BZN,4659,4650,42,0.00901481
67,16,-1.74765773,0.080523312,-1,26376,44.52019882,-109.0240021,5102,COD,1188,1187,16,0.013468013
69,35,-1.939868803,0.052395636,-1,26389,42.908001,-106.463997,5350,CPR,2709,2704,35,0.012919897
102,23,-1.929916647,0.053617166,-1,27304,48.3105011,-114.2559967,2977,FCA,2762,2760,23,0.008327299
110,16,-1.671015198,0.094718676,-1,27246,44.34889984,-105.5390015,4365,GCC,1046,1046,16,0.015296367
111,193,-1.652169257,0.098500052,-1,27259,47.61989975,-117.5339966,2376,GEG,15560,15552,193,0.012403599
123,19,-1.952687936,0.050856584,-1,27325,47.48199844,-111.3710022,3680,GTF,2140,2138,19,0.008878505
227,33,-1.762072939,0.078056975,-1,28579,46.26470184,-119.1190033,410,PSC,2541,2541,33,0.012987013
296,1,-1.673670472,0.09419538,-1,30303,44.68840027,-111.1179962,6649,WYS,264,264,1,0.003787879
