SOURCE_ID,PropCancel,GiZScore,GiPValue,Gi_Bin,field_1,latitude_d,longitude_,elevation_,iata_code,NDeparture,NArrivals,Cancelled,PropCancel_2
0,0.031620553,3.038510714,0.002377507,3,25947,40.65209961,-75.44080353,393,ABE,4807,4795,152,0.031620553
1,0.016165414,2.56217369,0.010401928,2,25948,32.41130066,-99.68190002,1791,ABI,2660,2661,43,0.016165414
5,0.037129955,2.587207484,0.009675731,3,25957,31.61129951,-97.23049927,516,ACT,1993,1994,74,0.037129955
7,0.025862069,1.738063511,0.082199624,1,25959,39.45759964,-74.57720184,75,ACY,116,113,3,0.025862069
8,0.098039216,2.285324695,0.022293796,2,38094,51.87799835,-176.6459961,18,ADK,102,102,10,0.098039216
13,0.019519074,2.825295315,0.004723706,3,26010,42.74829865,-73.80169678,285,ALB,13474,13468,263,0.019519074
14,0.170278638,3.970036644,7.19E-05,3,26014,42.55709839,-92.40029907,873,ALO,323,323,55,0.170278638
15,0.017075774,2.197156603,0.028009264,2,26018,35.219398,-101.706001,3607,AMA,7496,7490,128,0.017075774
18,0.014040028,2.453246325,0.014157336,2,26070,33.6367,-84.428101,1026,ATL,411965,411973,5784,0.014040028
19,0.052954197,3.401151834,0.000671025,3,26072,44.2580986,-88.51909637,918,ATW,5873,5872,311,0.052954197
21,0.022732439,2.81015957,0.004951694,3,26083,35.43619919,-82.54180145,2165,AVL,4399,4398,100,0.022732439
22,0.041072925,3.359583212,0.000780601,3,26085,41.33850098,-75.7233963,962,AVP,2386,2384,98,0.041072925
23,0.080020387,3.534574404,0.000408432,3,26103,42.23490143,-85.55210114,874,AZO,3924,3921,314,0.080020387
24,0.019932765,1.728394854,0.083917458,1,26125,41.93889999,-72.68319702,173,BDL,29449,29445,587,0.019932765
27,0.038461538,3.563853314,0.00036545,3,26149,42.20869827,-75.97979736,1636,BGM,728,728,28,0.038461538
29,0.016259133,2.679494837,0.007373334,3,26154,33.56290054,-86.75350189,650,BHM,23679,23679,385,0.016259133
31,0.017880506,3.897616501,9.71E-05,3,26161,46.77270126,-100.7460022,1661,BIS,2293,2292,41,0.017880506
32,0.013513514,4.066253482,4.78E-05,3,26165,47.50939941,-94.93370056,1391,BJI,74,74,1,0.013513514
34,0.046865236,3.496041452,0.000472215,3,26186,40.47710037,-88.91590118,871,BMI,4801,4799,225,0.046865236
35,0.013747198,3.319690542,0.000901173,3,26190,36.12450027,-86.67819977,599,BNA,57539,57544,791,0.013747198
45,0.027123483,2.437234531,0.014800077,2,26218,44.47190094,-73.15329742,335,BTV,7005,7006,190,0.027123483
46,0.023248735,4.082335672,4.46E-05,3,26221,42.94049835,-78.73220062,728,BUF,26281,26277,611,0.023248735
48,0.009627765,2.588662008,0.009634961,3,26235,39.1754,-76.668297,146,BWI,104074,104068,1002,0.009627765
51,0.025016678,3.680389962,0.000232878,3,26276,40.91609955,-81.44219971,1228,CAK,8994,8993,225,0.025016678
55,0.029534019,2.920189178,0.00349819,3,26322,35.03530121,-85.20379639,683,CHA,4571,4567,135,0.029534019
