SOURCE_ID,Cancelled,GiZScore,GiPValue,Gi_Bin,field_1,latitude_d,longitude_,elevation_,iata_code,NDeparture,NArrivals,Cancelled_2,PropCancel
0,152,2.791326404,0.005249251,3,25947,40.65209961,-75.44080353,393,ABE,4807,4795,152,0.031620553
3,17,2.138809795,0.032451076,2,25951,31.53549957,-84.19450378,197,ABY,1095,1095,17,0.015525114
7,3,2.686554225,0.007219323,3,25959,39.45759964,-74.57720184,75,ACY,116,113,3,0.025862069
11,44,2.413071622,0.015818711,2,25985,33.36989975,-81.96450043,144,AGS,2403,2406,44,0.018310445
13,263,2.596560845,0.009416223,3,26010,42.74829865,-73.80169678,285,ALB,13474,13468,263,0.019519074
18,5784,2.795118243,0.005188074,3,26070,33.6367,-84.428101,1026,ATL,411965,411973,5784,0.014040028
19,311,2.321172549,0.020277533,2,26072,44.2580986,-88.51909637,918,ATW,5873,5872,311,0.052954197
21,100,2.278941629,0.022670535,2,26083,35.43619919,-82.54180145,2165,AVL,4399,4398,100,0.022732439
22,98,2.795646439,0.005179603,3,26085,41.33850098,-75.7233963,962,AVP,2386,2384,98,0.041072925
23,314,2.003634595,0.045109217,2,26103,42.23490143,-85.55210114,874,AZO,3924,3921,314,0.080020387
24,587,2.800391318,0.005104069,3,26125,41.93889999,-72.68319702,173,BDL,29449,29445,587,0.019932765
27,28,2.859406051,0.004244351,3,26149,42.20869827,-75.97979736,1636,BGM,728,728,28,0.038461538
28,92,1.765287299,0.077515493,1,26150,44.80739975,-68.82810211,192,BGR,2879,2877,92,0.03195554
34,225,2.502148685,0.012344207,2,26186,40.47710037,-88.91590118,871,BMI,4801,4799,225,0.046865236
35,791,2.649488732,0.008061366,3,26190,36.12450027,-86.67819977,599,BNA,57539,57544,791,0.013747198
39,19,2.570501595,0.010155136,2,26203,31.25880051,-81.46649933,26,BQK,925,924,19,0.020540541
45,190,2.830636784,0.004645544,3,26218,44.47190094,-73.15329742,335,BTV,7005,7006,190,0.027123483
46,611,2.848929336,0.004386662,3,26221,42.94049835,-78.73220062,728,BUF,26281,26277,611,0.023248735
48,1002,2.466556428,0.013641923,2,26235,39.1754,-76.668297,146,BWI,104074,104068,1002,0.009627765
50,389,2.208529588,0.027207378,2,26274,33.93880081,-81.11949921,236,CAE,10550,10552,389,0.036872038
51,225,2.129108098,0.033245318,2,26276,40.91609955,-81.44219971,1228,CAK,8994,8993,225,0.025016678
55,135,2.758390306,0.00580868,3,26322,35.03530121,-85.20379639,683,CHA,4571,4567,135,0.029534019
56,17,2.217680095,0.026576652,2,26327,38.1385994,-78.45290375,639,CHO,823,821,17,0.020656136
57,415,2.510293151,0.012063097,2,26329,32.89860153,-80.04049683,46,CHS,14181,14179,415,0.029264509
61,1359,2.132063759,0.033001605,2,26350,41.4117012,-81.84980011,791,CLE,65795,65792,1359,0.020655065
63,1986,2.182889323,0.029043962,2,26357,35.2140007,-80.94309998,748,CLT,126045,126030,1986,0.015756278
64,767,2.063785509,0.039038058,2,26360,39.998001,-82.891899,815,CMH,34157,34151,767,0.022455134
65,143,2.314892383,0.020618822,2,26361,40.03919983,-88.27809906,755,CMI,2774,2770,143,0.051550108
71,92,2.081199517,0.037415648,2,26406,38.37310028,-81.59320068,981,CRW,3414,3413,92,0.026947862
72,36,2.531875658,0.011345422,2,26410,32.5163002,-84.93890381,397,CSG,1481,1481,36,0.0243079
73,1852,2.503393862,0.012300857,2,26425,39.04880142,-84.6678009,896,CVG,91229,91309,1852,0.020300562
